query_id,source,p_at_10_RAG,r_at_10_RAG,mrr_at_10_RAG,ndcg_at_10_RAG,p_at_10_GraphRAG,r_at_10_GraphRAG,mrr_at_10_GraphRAG,ndcg_at_10_GraphRAG,delta_p_at_10,delta_r_at_10,delta_mrr_at_10,delta_ndcg_at_10,comparacao,p_at_10_Hibrido,r_at_10_Hibrido,mrr_at_10_Hibrido,ndcg_at_10_Hibrido
61,expression from LLM question,0.3,0.2307692307692307,1.0,0.4100917144568355,0.3,0.2307692307692307,1.0,0.2771227553683631,0.0,0.0,0.0,-0.1329689590884724,RAG -> GraphRAG,,,,
62,expression from LLM question,0.3,0.25,1.0,0.1227348166072523,0.4,0.3333333333333333,1.0,0.1976191654536486,0.10000000000000003,0.08333333333333331,0.0,0.0748843488463963,RAG -> GraphRAG,,,,
63,expression from LLM question,0.4,0.2666666666666666,1.0,0.4635652505377661,0.5,0.3333333333333333,0.3333333333333333,0.4211782870687823,0.09999999999999998,0.06666666666666671,-0.6666666666666667,-0.042386963468983796,RAG -> GraphRAG,,,,
64,expression from LLM question,0.4,0.3076923076923077,1.0,0.3923027595111151,0.2,0.1538461538461538,0.5,0.2203074971970289,-0.2,-0.1538461538461539,-0.5,-0.17199526231408618,RAG -> GraphRAG,,,,
65,expression from LLM question,0.2,0.1428571428571428,1.0,0.3233285499960588,0.2,0.1428571428571428,0.5,0.2468086196975095,0.0,0.0,-0.5,-0.07651993029854931,RAG -> GraphRAG,,,,
66,expression from LLM question,0.1,0.1,0.5,0.1441012051608411,0.1,0.1,0.1111111111111111,0.068753747812956,0.0,0.0,-0.3888888888888889,-0.0753474573478851,RAG -> GraphRAG,,,,
67,expression from LLM question,0.3,0.3,0.3333333333333333,0.2685529228900211,0.3,0.3,1.0,0.4537425745411854,0.0,0.0,0.6666666666666667,0.1851896516511643,RAG -> GraphRAG,,,,
68,expression from LLM question,0.1,0.1666666666666666,1.0,0.7523106976437837,0.1,0.1666666666666666,1.0,0.7523106976437837,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
69,expression from LLM question,0.5,0.4166666666666667,1.0,0.7088755837577004,0.5,0.4166666666666667,1.0,0.6380458409830841,0.0,0.0,0.0,-0.07082974277461629,RAG -> GraphRAG,,,,
70,expression from LLM question,0.1,0.0769230769230769,0.3333333333333333,0.1141975032443295,0.2,0.1538461538461538,0.1666666666666666,0.1501096906237997,0.1,0.0769230769230769,-0.1666666666666667,0.03591218737947019,RAG -> GraphRAG,,,,
71,expression from LLM question,0.3,0.2,1.0,0.3734334176802006,0.3,0.2,1.0,0.3208328220561836,0.0,0.0,0.0,-0.05260059562401703,RAG -> GraphRAG,,,,
72,expression from LLM question,0.8,0.6666666666666666,1.0,0.8928408478617864,0.6,0.5,1.0,0.7036297341167596,-0.20000000000000007,-0.16666666666666663,0.0,-0.18921111374502686,RAG -> GraphRAG,,,,
73,expression from LLM question,0.3,0.2307692307692307,1.0,0.3919772225308076,0.4,0.3076923076923077,1.0,0.4627043206664421,0.10000000000000003,0.07692307692307701,0.0,0.07072709813563455,RAG -> GraphRAG,,,,
74,expression from LLM question,0.4,0.4,0.5,0.3925406987695483,0.5,0.5,1.0,0.6457072009504028,0.09999999999999998,0.09999999999999998,0.5,0.2531665021808545,RAG -> GraphRAG,,,,
75,expression from LLM question,0.3,0.25,1.0,0.5277840059680377,0.3,0.25,0.5,0.1874614937946117,0.0,0.0,-0.5,-0.34032251217342596,RAG -> GraphRAG,,,,
76,expression from LLM question,0.3,0.25,0.5,0.3145161830169477,0.5,0.4166666666666667,1.0,0.6089321523881239,0.2,0.16666666666666669,0.5,0.2944159693711762,RAG -> GraphRAG,,,,
77,expression from LLM question,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
78,expression from LLM question,0.6,0.4615384615384615,1.0,0.7715851031210844,0.7,0.5384615384615384,0.5,0.6561878214600948,0.09999999999999998,0.07692307692307693,-0.5,-0.11539728166098961,RAG -> GraphRAG,,,,
79,expression from LLM question,0.4,0.3076923076923077,1.0,0.6666268085958206,0.3,0.2307692307692307,1.0,0.6596602960387131,-0.10000000000000003,-0.07692307692307701,0.0,-0.0069665125571074515,RAG -> GraphRAG,,,,
80,expression from LLM question,0.4,0.2857142857142857,0.5,0.5095357070022043,0.4,0.2857142857142857,1.0,0.5520277599098254,0.0,0.0,0.5,0.04249205290762115,RAG -> GraphRAG,,,,
81,expression from LLM question,0.2,0.1428571428571428,1.0,0.618556652887613,0.3,0.2142857142857142,1.0,0.7257248483690127,0.09999999999999998,0.0714285714285714,0.0,0.10716819548139978,RAG -> GraphRAG,,,,
82,expression from LLM question,0.2,0.2222222222222222,1.0,0.5925454220768419,0.2,0.2222222222222222,1.0,0.4805501584107421,0.0,0.0,0.0,-0.1119952636660998,RAG -> GraphRAG,,,,
83,expression from LLM question,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RAG -> GraphRAG,,,,
